NE 125TH ST,39TH AVE NE,Cedar Park
5TH AVE N,NEWTON ST,East Queen Anne
GREENWOOD AVE N,N 85TH ST,Greenwood
MARTIN L KING JR WAY,E JOHN ST,Harrison/Denny-Blaine
SW BARTON ST,29TH AVE SW,Roxhill
NE 12TH ST,NE 11TH PL,Roosevelt
SW 100TH ST,37TH AVE SW,Arbor Heights
NE 75TH ST,23RD AVE NE,Ravenna
NE 103RD ST,5TH AVE NE,Maple Leaf
NE 175TH ST,140TH AVE NE,Haller Lake
N NORTHGATE WAY,INTERLAKE AVE N,Haller Lake
MERIDIAN AVE N,N 45TH ST,Wallingford
N 85TH ST,1ST AVE NW,Greenwood
BROADWAY,E UNION ST,First Hill
SE NEWPORT WAY,SE ALLEN RD,North Beacon Hill
LKSIDE AVE S,S LESCHI PL,Leschi
RAINIER AVE S,54TH AVE S,Dunlap
UNION AVE NE,NE 12TH ST,Broadway
SW 100TH ST,35TH AVE SW,Arbor Heights
S 240TH ST,21ST AVE S,Mid-Beacon Hill
RAINIER AVE S,LETITIA AVE S,Mount Baker
S CLOVERDALE ST,8TH AVE S,South Park
ROOSEVELT WAY NE,NE 45TH ST,University District
N 35TH ST,CARR PL N,Wallingford
AIRPT WAY S,S VALE ST,Mid-Beacon Hill
S 146TH ST,5TH AVE S,International District
25TH AVE NE,NE 75TH ST,Wedgwood
STEVENS WAY,OKANOGAN LN,University District
2ND AVE,STEWART ST,Central Business District
3RD AVE,PIKE ST,Central Business District
SW ADMIRAL WAY,51ST AVE SW,North Admiral
AUBURN WAY N,22ND ST NE,Ravenna
E DENNY WAY,BELLEVUE AVE E,Broadway
THACKERAY PL NE,NE 45TH ST,Wallingford
NW MARKET ST,BALLARD AVE NW,Adams
34TH AVE,E CHERRY ST,Madrona
5TH AVE NE,NE 103RD ST,Maple Leaf
49TH AVE SW,SW STEVENS ST,North Admiral
35TH AVE NE,NE 81ST ST,Wedgwood
E YESLER WAY,14TH AVE,Minor
W VALLEY HWY N,26TH ST NW,Adams
MARTIN L KING JR WAY,S MASSACHUSETTS ST,Mount Baker
BLANCHARD ST,1ST AVE,Belltown
RAINIER AVE S,S EDMUNDS ST,Columbia City
LATONA AVE NE,NE 56TH ST,Wallingford
NE 65TH ST,12TH AVE NE,Roosevelt
NE 4TH ST,JEFFERSON AVE NE,Pioneer Square
WOODINVILLE REDMO RD,NE 109TH ST,Matthews Beach
QUEEN ANNE AVE N,W MCGRAW ST,East Queen Anne
WALLINGFORD AVE N,N 39TH ST,Wallingford
SE 27TH ST,SE 26TH PL,Lawton Park
PHINNEY AVE N,N 67TH ST,Phinney Ridge
NE 125TH ST,LK CITY WAY NE,Cedar Park
23RD AVE,E YESLER WAY,Mann
SW ORCHARD ST,DELRIDGE WAY SW,Riverview
148TH AVE NE,NE 87TH ST,Wedgwood
E YESLER WAY,32ND AVE,Leschi
142ND PL SE,SE 32ND ST,Columbia City
BELLEVUE REDMOND RD,130TH AVE NE,Olympic Hills
JAMES ST,4TH AVE,Pioneer Square
Aurora Village TC Ac,Ashworth Ave N,Wallingford
WOODLAWN AVE NE,1ST AVE NE,Green Lake
WESTLAKE AVE N,MERCER ST,South Lake Union
1ST AVE NE,NE 80TH ST,Green Lake
CALIFORNIA AVE SW,SW FONTANELLE ST,Gatewood
51ST AVE S,BEACON AVE S,Rainier View
228TH AVE SE,SE 4TH ST,Central Business District
SR 520,NE 40TH ST,Wallingford
NW MAPLE ST,12TH AVE NW,Crown Hill
SAND PT WAY NE,PRINCETON AVE NE,Windermere
E THOMAS ST,16TH AVE E,Stevens
156TH AVE NE,NE 8TH ST,First Hill
34TH AVE W,W DRAVUS ST,Lawton Park
140TH AVE SE,SE 1ST ST,Broadview
RENTON AVE S,S HENDERSON ST,Dunlap
MADISON ST,5TH AVE,Central Business District
OLIVE WAY,6TH AVE,Central Business District
ROOSEVELT WAY NE,NE 85TH ST,Maple Leaf
SE HIGH PT WAY,SE 84TH ST,Greenwood
NE NORTHGATE WAY,23RD AVE NE,Victory Heights
WILLOWS RD NE,NE 91ST ST,Maple Leaf
15TH AVE NE,NE 65TH ST,Ravenna
DELRIDGE WAY SW,CROFT PL SW,Riverview
MERIDIAN AVE N,N 130TH ST,Haller Lake
NE 45TH ST,42ND AVE NE,Laurelhurst
4TH AVE S,S HANFORD ST,Industrial District
BOYLSTON AVE E,E ROANOKE ST,Portage Bay
DEXTER AVE N,MERCER ST,South Lake Union
NE 8TH ST,98TH AVE NE,Maple Leaf
5TH AVE NE,NE 45TH ST,University District
154TH AVE NE,NE 85TH ST,Maple Leaf
BEACON AVE S,S WEBSTER ST,South Beacon Hill
8TH AVE NW,NW 65TH ST,Phinney Ridge
14TH AVE NW,NW 103RD ST,Crown Hill
15TH AVE NE,NE 70TH ST,Ravenna
SW ADMIRAL WAY,60TH AVE SW,Alki
NE 65TH ST,30TH AVE NE,Ravenna
45TH AVE NE,45TH ST NE,Laurelhurst
CALIFORNIA AVE SW,SW AUSTIN ST,Gatewood
ROOSEVELT WAY NE,5TH AVE NE,Pinehurst
S HENDERSON ST,RENTON AVE S,Dunlap
EASTLAKE AVE E,E HAMLIN ST,Eastlake
W SMITH ST,6TH AVE N,North Queen Anne
3RD AVE,VINE ST,Belltown
NE 36TH ST,NE 36TH WAY,Fremont
26TH AVE SW,27TH AVE SW,Lawton Park
FedWay/S 320th St P&,25th Ave S,Mid-Beacon Hill
5TH AVE NE,NE 98TH ST,Maple Leaf
25TH AVE NE,NE 65TH ST,Ravenna
NICKERSON ST,3RD AVE N,North Queen Anne
DELRIDGE WAY SW,SW EDMUNDS ST,North Delridge
1ST AVE S,S SPOKANE ST,Industrial District
BEACON AVE S,S COLUMBIAN WAY,Columbia City
F ST SE,CEDAR DR,South Lake Union
CARLETON AVE S,S WILLOW ST,Georgetown
20TH AVE NE,NE 143RD ST,Olympic Hills
63RD AVE SW,SW HINDS ST,Alki
4TH AVE S,S ROYAL BROUGHAM WAY,Industrial District
PHINNEY AVE N,N 43RD ST,Fremont
MARTIN L KING JR WAY,S DAWSON ST,Columbia City
HIGHLAND PK WAY SW,SW HOLDEN ST,Highland Park
3RD AVE NW,NW 143RD ST,Broadview
1ST AVE N,DENNY WAY,Lower Queen Anne
SW ADMIRAL WAY,SW WAITE ST,North Admiral
RAINIER AVE S,S HOLLY ST,Brighton
S 223RD ST,24TH AVE S,Mid-Beacon Hill
CALIFORNIA AVE SW,SW COLLEGE ST,North Admiral
N 128TH ST,MERIDIAN AVE N,Haller Lake
HARBOR AVE SW,FAUNTLEROY AVE SW,Industrial District
35TH AVE SW,SW ELMGROVE ST,Roxhill
SAND PT WAY NE,NE 50TH ST,Laurelhurst
DEXTER AVE N,ALOHA ST,Westlake
RENTON AVE S,S FOUNTAIN ST,Rainier View
19TH AVE E,E MCGRAW ST,Montlake
E YESLER WAY,12TH AVE S,Minor
35TH AVE NE,34TH AVE NE,Matthews Beach
32ND AVE NW,NW 58TH ST,Adams
11TH AVE NE,NE 52ND ST,University District
NE RAVENNA BLVD,NE 68TH ST,Green Lake
NW 36TH ST,1ST AVE NW,Fremont
PIKE ST,4TH AVE,Central Business District
MERIDIAN AVE N,N 46TH ST,Wallingford
AIRPT WAY S,S STACY ST,Industrial District
48TH AVE SW,SW JUNEAU ST,Seaview
MARKET ST,20TH AVE W,Adams
MARTIN L KING JR WAY,E ALDER ST,Leschi
SAND PT WAY NE,NE 62ND ST,Windermere
GLENN WAY SW,46TH AVE SW,Genesee
RAINIER AVE S,S BAYVIEW ST,Atlantic
E PINE ST,SUMMIT AVE,Broadway
NE 65TH ST,39TH AVE NE,View Ridge
NE 75TH ST,42ND AVE NE,Wedgwood
SW ROXBURY ST,8TH AVE SW,Highland Park
NE 40TH ST,1ST AVE NE,Wallingford
2ND AVE,LENORA ST,Belltown
NE 125TH ST,33RD AVE NE,Cedar Park
RENTON AVE S,57TH AVE S,Rainier Beach
BROADWAY E,E MERCER ST,Broadway
RAINIER AVE S,S WALDEN ST,Mount Baker
SYLVAN WAY SW,SW HOLLY ST,High Point
12TH AVE NW,LAKE DR,Roosevelt
23RD AVE,E OLIVE ST,Mann
Broad St,2nd Ave,Belltown
ROOSEVELT WAY NE,NE 50TH ST,University District
35TH AVE NE,NE 95TH ST,Matthews Beach
NE 80TH ST,5TH AVE NE,Roosevelt
S MCCLELLAN ST,S MOUNT BAKER BLVD,Mount Baker
STONE WAY N,N 40TH ST,Wallingford
E MADISON ST,29TH AVE E,Harrison/Denny-Blaine
2ND AVE N,GARFIELD ST,East Queen Anne
NE 65TH ST,31ST AVE NE,Ravenna
S OTHELLO ST,RAINIER AVE S,Brighton
N 80TH ST,CORLISS AVE N,Green Lake
SW ALASKA ST,FAUNTLEROY WAY SW,Fairmount Park
116TH AVE NE,NE 2ND PL,Broadview
N 40TH ST,EASTERN AVE N,Wallingford
F ST SE,21ST ST SE,Interbay
5TH AVE NE,NE 123RD ST,Pinehurst
GREENWOOD AVE N,N 78TH ST,Greenwood
E YESLER WAY,30TH AVE S,Leschi
51ST AVE S,S RYAN ST,Rainier Beach
5TH AVE NE,NE 133RD ST P&R,Pinehurst
E OLIVE WAY,SUMMIT AVE E,Broadway
14TH AVE S,S HILL ST,North Beacon Hill
SEWARD PK AVE S,OAKHURST RD S,Seward Park
ROOSEVELT WAY NE,NE 105TH ST,Maple Leaf
NE 65TH ST,18TH AVE NE,Ravenna
1ST AVE S,S LANDER ST,Industrial District
169TH AVE SE,SE 138TH ST,Bitter Lake
24TH AVE NW,NW 77TH ST,Loyal Heights
39TH AVE S,S CAMBRIDGE ST,South Beacon Hill
WOODLAWN AVE NE,NE RAVENNA BLVD,Green Lake
N 143RD ST,LINDEN AVE N,Bitter Lake
MARKET ST,5TH AVE W,West Woodland
TALBOT RD S,S 37TH ST,Wallingford
32ND AVE NW,NW 67TH ST,Sunset Hill
CALIFORNIA AVE SW,SW GENESEE ST,Genesee
128TH AVE SE,MAIN ST,Pioneer Square
UNION AVE NE,NE 1ST PL,Central Business District
BROADWAY,E MADISON ST,First Hill
SW GENESEE ST,49TH AVE SW,Genesee
BOSTON ST,4TH AVE N,East Queen Anne
MONTLAKE BLVD NE,NE PACIFIC PL,University District
GREENWOOD AVE N,N 125TH ST,Bitter Lake
NE 8TH ST,92ND AVE NE,Maple Leaf
15TH AVE E,E ALOHA ST,Stevens
NOB HILL AVE N,GALER ST,East Queen Anne
166TH AVE NE,NE 83RD ST,Roosevelt
I-5,NE 45TH ST,West Woodland
S 180TH ST,ANDOVER PARK W,Laurelhurst
KIRKWOOD PL N,N 59TH ST,Wallingford
49TH AVE SW,SW DAWSON ST,Seaview
S 320TH ST,5TH AVE S,International District
NE 45TH ST,MARY GATES MEMORI DR,Bryant
GILMAN AVE W,W EMERSON PL,Interbay
104TH AVE SW,SW BURTON DR,Interbay
VA Hospital AcRd,S Oregon St,Industrial District
RAVENNA AVE NE,NE 83RD ST,Wedgwood
151ST AVE SE,SE 49TH ST,Rainier Beach
COAL CREEK PKWY SE,SE 84TH WAY,Greenwood
NE 65TH ST,25TH AVE NE,Ravenna
LK DELL AVE,32ND AVE,Leschi
THORNDYKE AVE W,W LYNN ST,Interbay
38TH AVE NE,NE 85TH ST,Wedgwood
AURORA AVE N,LYNN ST,East Queen Anne
HIGHLAND PK WAY SW,WEST MARGINAL WAY S,South Park
140TH AVE NE,NE 37TH PL,Cedar Park
3RD AVE,UNION ST,Central Business District
34TH AVE W,W THURMAN ST,Lawton Park
16TH AVE SW,SW BRANDON ST,Riverview
DELRIDGE WAY SW,SW CAMBRIDGE ST,South Delridge
YESLER WAY,PREFONTAINE PL S,Pioneer Square
NE 65TH ST,35TH AVE NE,Bryant
ALKI AVE SW,1600 BLOCK,Alki
CALIFORNIA AVE SW,FAUNTLEROY WAY SW,Fairmount Park
15TH AVE NW,NW 100TH ST,North Beach/Blue Ridge
32ND AVE NW,NW 77TH ST,Sunset Hill
ALKI AVE SW,57TH AVE SW,Alki
EASTLAKE AVE E,E NEWTON ST,Eastlake
LEARY WAY NW,NW 43RD ST,Fremont
NE 45TH ST,47TH AVE NE,Laurelhurst
35TH AVE SW,SW 104TH ST,Arbor Heights
148TH AVE NE,NE 55TH ST,Wallingford
8TH AVE NW,NW 75TH ST,Greenwood
NE 185TH ST,103RD AVE NE,Matthews Beach
TOTEM LK BLVD,NE 130TH PL,Olympic Hills
WOODLAND PL N,N 64TH ST,Green Lake
N NORTHGATE WAY,STONE AVE N,Haller Lake
N 40TH ST,MERIDIAN AVE N,Wallingford
34TH AVE W,W GOVERNMENT WAY,Lawton Park
SE NEWPORT WAY,LAKEMONT BLVD SE,View Ridge
BENDIGO BLVD BLVD N,SIDNEY AVE N,Maple Leaf
15TH ST SW,MARKET ST,West Woodland
4TH AVE S,DIAGONAL AVE S,Industrial District
MARKET ST,16TH AVE,Stevens
EAST MARGINAL WAY S,ELLIS AVE S,Georgetown
N 85TH ST,STONE AVE N,North College Park
17TH AVE NE,NE 136TH ST,Olympic Hills
EAST MARGINAL WAY S,S MICHIGAN ST,Georgetown
28TH AVE W,W DRAVUS ST,Lawton Park
SW ADMIRAL WAY,CALIFORNIA AVE SW,North Admiral
5TH AVE NE,NE 85TH ST,Maple Leaf
35TH AVE SW,SW 114TH ST,Arbor Heights
WEST VIEWMONT WAY W,W ARMOUR ST,Briarcliff
GREENWOOD AVE N,N 77TH ST,Greenwood
2ND AVE,BROAD ST,Belltown
1ST AVE,MARION ST,Central Business District
NE 65TH ST,43RD AVE NE,View Ridge
DELRIDGE WAY SW,SW BRANDON ST,North Delridge
23RD AVE,E MADISON ST,Mann
S 176TH ST,34TH AVE S,Columbia City
SE 177TH ST,140TH AVE SE,Haller Lake
35TH AVE NE,NE 92ND ST,Wedgwood
SAND PT WAY NE,NE 93RD ST,Matthews Beach
40TH PL NE,35TH AVE NE,Ravenna
SE RIDGE ST,DOUGLAS AVE SE,Alki
HOLMAN RD NW,3RD AVE NW,Greenwood
15TH AVE E,E GALER ST,Stevens
35TH AVE SW,SW 112TH ST,Arbor Heights
3RD AVE NW,NW 120TH ST,Broadview
4TH AVE S,S FINDLAY ST,Georgetown
EAST MARGINAL WAY S,S HUDSON ST,Industrial District
S 304TH ST,37TH AVE S,South Beacon Hill
MARTIN L KING JR WAY,S HANFORD ST,Mount Baker
55TH AVE NE,NE 68TH ST,View Ridge
N 122ND ST,BURKE AVE N,Haller Lake
BLAINE ST,QUEEN ANNE AVE N,East Queen Anne
RAINIER AVE S,S FRONTENAC ST,Seward Park
WEST VIEWMONT WAY W,MONTAVISTA PL W,Briarcliff
DENNY WAY,BROAD ST,South Lake Union
E DENNY WAY,E FLORENCE CT,Harrison/Denny-Blaine
32ND AVE NW,NW 70TH ST,Sunset Hill
S BAILEY ST,CARLETON AVE S,Georgetown
BEACON AVE S,S RAYMOND ST,Mid-Beacon Hill
W NICKERSON ST,6TH AVE W,North Queen Anne
41ST ST NE,49TH AVE NE,Windermere
NE 8TH ST,120TH AVE NE,Pinehurst
16TH AVE S,17TH PL S,Industrial District
15TH AVE E,E REPUBLICAN ST,Stevens
8TH AVE NW,NW MARKET ST,West Woodland
39TH AVE SW,MARINE VIEW DR SW,Arbor Heights
185TH AVE NE,NE 68TH ST,Green Lake
NW 85TH ST,30TH AVE NW,North Beach/Blue Ridge
E YESLER WAY,32ND AVE S,Leschi
SE PETROVITSKY RD,140TH AVE SE,Haller Lake
GREENWOOD AVE N,N 92ND ST,Greenwood
SW GRADY WAY,RAYMOND AVE SW,Seaview
CALIFORNIA AVE SW,SW WEBSTER ST,Gatewood
S DAWSON ST,51ST AVE S,Seward Park
W GOVERNMENT WAY,31ST AVE W,Interbay
N 40TH ST,SUNNYSIDE AVE N,Wallingford
NE 125TH ST,30TH AVE NE,Olympic Hills
WEST LK SAMMAMISH PK,NE 40TH ST,Wallingford
NE 125TH ST,20TH AVE NE,Olympic Hills
NW 85TH ST,19TH AVE NW,Crown Hill
EASTLAKE AVE E,E HOWE ST,Eastlake
10TH AVE W,W MCGRAW ST,North Queen Anne
QUEEN ANNE AVE N,W MERCER ST,Lower Queen Anne
NE OLD REDMOND RD,140TH AVE NE,Haller Lake
Bell St,4th Ave,Belltown
E PINE ST,BROADWAY,Broadway
180TH AVE NE,NE 76TH ST,Roosevelt
Totem Lake Transit C,120th Ave NE,Victory Heights
NE 132ND ST,124TH AVE NE,Minor
DEXTER AVE,DENNY WAY,South Lake Union
E UNION ST,32ND AVE,Madrona
164TH AVE SE,SE 12TH ST,University District
SW ADMIRAL WAY,46TH AVE SW,North Admiral
N 130TH ST,ASHWORTH AVE N,Haller Lake
15TH AVE NE,NE 50TH ST,University District
W GOVERNMENT WAY,34TH AVE W,Lawton Park
MARTIN L KING JR WAY,S ALASKA ST,Columbia City
NE 55TH ST,25TH AVE NE,Ravenna
MARTIN L KING JR WAY,S WINTHROP ST,Mount Baker
3RD AVE W,W FULTON ST,North Queen Anne
W TILDEN ST,30TH AVE W,Lawton Park
35TH AVE SW,SW HUDSON ST,North Delridge
S ALASKA ST,MARTIN L KING JR WAY,Columbia City
WEST VIEWMONT WAY W,W RAYE ST,Briarcliff
NE 65TH ST,21ST AVE NE,Ravenna
NE 45TH ST,38TH AVE NE,Laurelhurst
35TH AVE SW,SW ROXBURY ST,Roxhill
E YESLER WAY,27TH AVE S,Leschi
NW 90TH ST,1ST AVE NW,Greenwood
140TH AVE NE,NE 12TH ST,University District
E JEFFERSON ST,BROADWAY,Yesler Terrace
S 272ND ST,26TH AVE S,Mid-Beacon Hill
NE 205TH ST,19TH AVE NE,University District
MARTIN L KING JR WAY,S HOLLY ST,Brighton
RAINIER AVE S,S ANDOVER ST,Mount Baker
WATERS AVE S,S PILGRIM ST,Rainier Beach
4TH AVE S,S ORCAS ST,Georgetown
ALKI AVE SW,61ST AVE SW,Alki
WEST MONTLAKE PL E,E LOUISA ST,Montlake
25TH AVE NE,NE 55TH ST,Ravenna
EAST MARGINAL WAY S,S 87TH PL,Georgetown
THORNDYKE AVE W,W BLAINE ST,Interbay
5TH AVE,JAMES ST,Pioneer Square
31ST AVE S,S KING ST,Leschi
S HOLDEN ST,5TH AVE S,South Park
8TH AVE NW,NW 70TH ST,Phinney Ridge
156TH AVE NE,MAIN ST,Pioneer Square
NE 125TH ST,15TH AVE NE,Olympic Hills
40TH AVE NE,NE 80TH ST,Wedgwood
SEWARD PK AVE S,WILSON AVE S,Seward Park
ROOSEVELT WAY NE,NE 58TH ST,University District
LATONA AVE NE,NE 65TH ST,Green Lake
35TH AVE SW,SW MORGAN ST,High Point
SW ROXBURY ST,30TH AVE SW,Roxhill
D ST SE,D PL SE,Brighton
Totem Lake Transit C,NE 128th St,Pinehurst
9TH AVE N,JOHN ST,South Lake Union
QUEEN ANNE AVE N,HIGHLAND DR,East Queen Anne
S 336TH ST,9TH AVE S,Mid-Beacon Hill
QUEEN ANNE AVE N,W GARFIELD ST,East Queen Anne
SR 203,NE 40TH ST,Wallingford
BELLEVUE AVE E,E REPUBLICAN ST,Broadway
NE 65TH ST,47TH AVE NE,View Ridge
SAND PT WAY NE,NE 95TH ST,Matthews Beach
SAND PT WAY NE,NE 52ND ST,Laurelhurst
SAND PT WAY NE,NE 61ST ST,Windermere
SW 342ND ST,35TH AVE SW,Arbor Heights
112TH AVE NE,MAIN ST,Pioneer Square
16TH AVE SW,SW FINDLAY ST,Riverview
NE CAMPUS PKWY,11TH AVE NE,University District
N 36TH ST,1ST AVE NW,Fremont
E MADISON ST,22ND AVE,Minor
124TH AVE NE,NE 144TH ST,Olympic Hills
NW 85TH ST,11TH AVE NW,Crown Hill
GOLDEN GDNS DR NW,LOYAL AVE NW,North Beach/Blue Ridge
WEST VIEWMONT WAY W,W PARKMONT PL,Briarcliff
SW ADMIRAL WAY,57TH AVE SW,Alki
6TH AVE S,S ATLANTIC ST,Industrial District
W NICKERSON ST,8TH AVE W,North Queen Anne
W NICKERSON ST,13TH AVE W,North Queen Anne
108TH AVE NE,MAIN ST,Pioneer Square
RAINIER AVE S,S BRANDON ST,Columbia City
4TH AVE,CHERRY ST,Pioneer Square
BOSTON ST,2ND AVE N,East Queen Anne
NW 85TH ST,29TH AVE NW,North Beach/Blue Ridge
FAUNTLEROY WAY SW,SW MORGAN ST,Fairmount Park
15TH AVE NE,NE 123RD ST,Victory Heights
1ST AVE S,S 143RD ST,Broadview
49TH AVE SW,SW SPOKANE ST,North Admiral
E YESLER WAY,23RD AVE S,Mann
SW GENESEE ST,53RD AVE SW,Alki
NE 160TH ST,124TH AVE NE,Minor
WESTLAKE AVE N,HARRISON ST,South Lake Union
44TH AVE SW,SW 100TH ST,Arbor Heights
MOUNT RAINIER DR S,S RIDGEWAY PL,Mount Baker
10TH AVE E,E MERCER ST,Broadway
24TH AVE E,E MCGRAW ST,Montlake
WEST LK SAMMAMISH PK,NE 15TH PL,North Queen Anne
35TH AVE NE,NE 120TH ST,Cedar Park
E MADISON ST,20TH AVE,Minor
7TH AVE W,W PLEASANT PL,North Queen Anne
AURORA AVE N,N NORTHGATE WAY,Haller Lake
NE 45TH ST,UNION BAY PL NE,Bryant
15TH AVE NE,NE 94TH ST,Maple Leaf
LATONA AVE NE,NE 52ND ST,Wallingford
PINE ST,3RD AVE,Central Business District
32ND AVE NW,NW 69TH ST,Sunset Hill
12TH AVE NE,NE 61ST ST,Roosevelt
N 85TH ST,AURORA AVE N,North College Park
NE OLD REDMOND RD,NE 70TH ST,Green Lake
S 212TH ST,50TH AVE S,Seward Park
LK CITY WAY NE,FISCHER PL NE,Meadowbrook
UNION ST,4TH AVE,Central Business District
42ND AVE E,E NEWTON ST,Madison Park
SW MORGAN ST,35TH AVE SW,High Point
61ST PL NE,62ND AVE NE,Ravenna
SW ADMIRAL WAY,61ST AVE SW,Alki
S 146TH ST,5TH PL S,Georgetown
S COLUMBIAN WAY,S SNOQUALMIE ST,North Beacon Hill
UNIVERSITY WAY NE,NE 55TH ST,University District
S 240TH ST,26TH PL S,South Delridge
MONTLAKE BLVD NE,HEC ED PAVILION,University District
39TH AVE S,S BARTON ST,South Beacon Hill
16TH AVE SW,SW MYRTLE ST,Riverview
NE 181ST ST,73RD AVE NE,Bryant
E MADISON ST,36TH AVE E,Harrison/Denny-Blaine
EAST MARGINAL WAY S,S BOEING ACS,South Beacon Hill
SE EASTGATE WAY,SE 35TH PL,Holly Park
140TH AVE NE,NE 24TH ST,Olympic Hills
QUEEN ANNE AVE N,W COMSTOCK ST,East Queen Anne
N 92ND ST,CORLISS AVE N,North College Park
N 130TH ST,EVANSTON AVE N,Bitter Lake
AIRPT WAY S,S BRADFORD ST,Industrial District
31ST AVE W,W MANSELL ST,Lawton Park
E JAMES ST,CENTRAL AVE N,University District
MERIDIAN AVE N,N 115TH ST,Haller Lake
South Seattle CC AcR,SW Findlay St,Seaview
SW 320TH ST,1ST AVE S,Georgetown
GREENWOOD AVE N,N 134TH ST,Bitter Lake
15TH AVE NE,NE 85TH ST,Maple Leaf
BROADWAY,E DENNY WAY,Broadway
AIRPT WAY S,S SPOKANE ST,Industrial District
HARBOR AVE SW,SW HARBOR LN,Industrial District
35TH AVE NE,NE 91ST ST,Wedgwood
1ST AVE,BAY ST,Lower Queen Anne
3RD AVE,CEDAR ST,Belltown
E MADISON ST,15TH AVE,Minor
NE 45TH ST,LATONA AVE NE,Wallingford
NE 80TH ST,17TH AVE NE,Roosevelt
32ND AVE NW,NW 85TH ST,North Beach/Blue Ridge
GREENWOOD AVE N,N 90TH ST,Greenwood
NE NORTHLAKE WAY,7TH AVE NE,University District
E ROY ST,BROADWAY E,Broadway
35TH AVE SW,SW AVALON WAY,Fairmount Park
SEWARD PK AVE S,S OTHELLO ST,Seward Park
E PINE ST,15TH AVE,Stevens
GRIFFIN AVE,FLORENCE ST,Harrison/Denny-Blaine
MAPLE VALLEY HWY,MONROE AVE SE,South Park
15TH AVE W,W ARMORY WAY,West Queen Anne
140TH AVE SE,SE 7TH ST,Industrial District
NE 41ST ST,51ST AVE NE,Laurelhurst
48TH AVE SW,SW GRAHAM ST,Seaview
WALLINGFORD AVE N,N 35TH ST,Wallingford
N 105TH ST,GREENWOOD AVE N,Bitter Lake
ELLIOTT AVE W,W ROY ST,West Queen Anne
16TH AVE SW,SW ROXBURY ST,Highland Park
FAIRVIEW AVE N,VALLEY ST,South Lake Union
15TH ST NE,A ST NE,Victory Heights
1ST AVE S,SW 143RD ST,Broadview
119TH PL NE,NE 144TH PL,Olympic Hills
NW 85TH ST,20TH AVE NW,Crown Hill
49TH AVE SW,SW HANFORD ST,North Admiral
23RD AVE S,S JACKSON ST,Atlantic
S JACKSON ST,23RD AVE S,Atlantic
EAST MARGINAL WAY S,4TH AVE S,Georgetown
E CHERRY ST,23RD AVE,Mann
NE 125TH ST,35TH AVE NE,Cedar Park
Kent-Des Moines P&R ,Military Rd S,Georgetown
SWIFT AVE S,S EDDY ST,Mid-Beacon Hill
BOREN AVE,PIKE ST,First Hill
S 120TH ST,22ND AVE S,Victory Heights
WOODLAWN AVE NE,NE 71ST ST,Green Lake
11TH AVE NE,NE 42ND ST,University District
35TH AVE NE,NE 57TH ST,Bryant
44TH AVE SW,SW ALASKA ST,Genesee
S 176TH ST,MILITARY RD S,Georgetown
TALBOT RD S,S RENTON VILLAGE PL,Ravenna
AIRPT WAY S,S ALASKA ST,Industrial District
BEACON AVE S,S OTHELLO ST,South Beacon Hill
STONE WAY N,N 45TH ST,Wallingford
LEARY AVE NW,NW IONE PL,Adams
FREMONT AVE N,N 39TH ST,Fremont
61ST AVE SW,SW STEVENS ST,Alki
BEACON AVE S,S AVON ST,Rainier View
132ND AVE NE,NE 117TH ST,Pinehurst
E RIVERSIDE DR,102ND AVE NE,Maple Leaf
49TH AVE NE,42ND ST NE,Wallingford
NW 125TH ST,8TH AVE NW,Broadview
3RD AVE NW,NW 117TH ST,Broadview
156TH AVE SE,SE 4TH ST,Central Business District
16TH AVE SW,SW HOLLY ST,Riverview
32ND AVE NW,LOYAL WAY NW,North Beach/Blue Ridge
ALKI AVE SW,1300 BLOCK,Alki
9TH AVE SW,SW ELMGROVE ST,Highland Park
E YESLER WAY,BOREN AVE,Minor
STEVENS WAY,MEMORIAL WAY,University District
5TH AVE,MARION ST,Central Business District
41ST AVE SW,SW HOLDEN ST,Gatewood
SW 116TH ST,1ST AVE S,Broadview
41ST ST NE,45TH AVE NE,Laurelhurst
NE 65TH ST,29TH AVE NE,Ravenna
28TH AVE W,W CROCKETT ST,Southeast Magnolia
SW ALASKA ST,35TH AVE SW,North Delridge
35TH AVE SW,SW BRANDON ST,North Delridge
9TH AVE SW,SW HENDERSON ST,Highland Park
N 130TH ST,DAYTON AVE N,Bitter Lake
22ND AVE W,W BARRETT ST,Southeast Magnolia
EASTLAKE AVE E,E GARFIELD ST,South Lake Union
4TH AVE,STEWART ST,Belltown
RENTON AVE S,S RYAN ST,Rainier Beach
BEACON AVE S,S LANDER ST,North Beacon Hill
MARKET ST,4TH AVE,Central Business District
DENSMORE AVE N,N 125TH ST,Haller Lake
35TH AVE NE,NE 100TH ST,Matthews Beach
NW 105TH ST,14TH AVE NW,North Beach/Blue Ridge
9TH AVE SW,SW KENYON ST,Highland Park
3RD AVE,PINE ST,Central Business District
35TH AVE SW,SW WILLOW ST,High Point
104TH AVE SE,SE 20TH ST,Victory Heights
166TH AVE NE,NE 100TH ST,Maple Leaf
SW ROXBURY ST,35TH AVE SW,Roxhill
14TH AVE S,S WALKER ST,North Beacon Hill
E UNION ST,18TH AVE,Minor
WEST LK SAMMAMISH PK,SE 51ST ST,Rainier Beach
WALLINGFORD AVE N,N 80TH ST,Green Lake
15TH AVE NW,NW 75TH ST,Whittier Heights
